Dataset,Mean,Variance,Skewness,Kurtosis,Peak-to-Peak,Energy,Entropy,Autocorrelation (Lag-1),Stationarity (ADF Test),Trend Strength,Seasonality Strength,Cluster
AirQualityUCI.csv,6.289469478207061,14.33961742129464,4.321792024620363,22.39651943372401,9.230044955250518,26.068879821063934,5.368293958412561,-0.1180062302436212,1.0,0.0267408767098624,2.706737794677672e-05,0
car_parts_dataset_without_missing_values.tsf,0.3902227627944189,0.9352332353705672,7.221158491228163,125.50948050116313,3.970291913552122,12.35731194855271,0.8734036907230809,0.1896435637628949,1.0,0.2383021485298516,0.0001269134980549,0
covid_deaths_dataset.tsf,6.992022529996086,17.829150610552936,13.327788111706017,220.9207501081723,12.068280761315467,28.780874672017628,4.095578964573624,0.9907145213581446,1.0,0.9816512133052606,0.0008003335141607,0
dominick_dataset.tsf,2.7398033676191273,5.706665706228173,0.8337059210128189,-0.0028849245665742,5.193456725931862,17.7499257846104,4.835917179145859,0.2685193389014097,1.0,0.2954443886504021,0.000150963895143,0
electricity_hourly_dataset.tsf,7.801531236471327,19.21744211351462,25.372345529001123,818.7583612724909,13.515892197284106,30.762030358417338,7.986335721274414,0.3660745717143248,1.0,0.6740161781137151,0.0023787113611203,0
electricity_weekly_dataset.tsf,12.965237402886542,29.225311951202848,16.321482345129127,327.44048730565805,17.95983982457672,40.07010887511417,10.665051455978285,0.9921623766531488,1.0,0.9875660656164764,0.0002440129384047,0
fred_md_dataset.tsf,9.858143760011428,23.168257912142774,14.043561365718016,267.62386667862665,14.97090732019501,34.4598251393912,10.207330841295455,0.9969076951480964,1.0,0.9941064879521,0.0002019622699952,0
hospital_dataset.tsf,5.593175488931431,13.45733136225583,7.757529516754977,77.70779541570874,9.400133943608838,24.60406549022216,5.71977037044055,0.9890873022532902,1.0,0.9806802407172156,0.0003766698193815,0
m1_monthly_dataset.tsf,9.178558951446584,21.629306241038265,18.574753409978403,513.2310580871842,14.602544633211373,32.57730895553676,9.36670761411399,0.9162779071662414,1.0,0.920725116475845,0.0005479274358749,0
m1_quarterly_dataset.tsf,9.533903232936918,22.224698760228975,7.809233926509087,66.49010096322056,13.615592274924445,31.429409061760015,7.928023958006159,0.971227563839682,1.0,0.942588668873535,0.0007151018356309,0
m1_yearly_dataset.tsf,13.33762968032526,30.020576482912194,7.133826858365419,57.60199759497283,17.669499693228857,38.38680462815286,8.06226093844565,0.932956623472302,1.0,0.8834830006713358,0.0014645099198173,0
m3_monthly_dataset.tsf,8.519732410693258,15.479357812039225,2.98711623651754,40.513904534878286,11.384307694991195,29.241766631011156,8.975089367063168,0.857356595388832,1.0,0.7984671960935483,0.0006658384463036,0
m3_quarterly_dataset.tsf,8.521580111204164,14.975000799928914,0.5966510953991824,1.7175924111263754,9.91615695563679,27.63891211299301,9.72638331791621,0.8927370640091706,1.0,0.8492339039099843,0.000567972057601,0
m3_yearly_dataset.tsf,8.489596504592091,15.645514456242264,1.4426541101148038,12.215219566537389,10.724226395396641,26.9554310898143,9.142324401063217,0.8641515866640322,1.0,0.755052328618345,0.003213453839321,0
m4_daily_dataset.tsf,8.647599918511261,16.706860502166318,0.6056822194729627,-0.3081945433742765,10.65869526467694,29.25107374844263,11.25496289670395,0.9136197293938502,1.0,0.8316666100818574,0.0001604839014111,0
m4_hourly_dataset.tsf,8.647011036188623,20.973706075938892,13.344426777843154,201.73681402689195,13.463110748316684,32.728118841628614,7.33785750757291,0.9886306879269756,1.0,0.9582107205625296,2.901235719243722e-05,0
m4_monthly_dataset.tsf,8.358910553207998,16.197849199318735,1.748375317218367,12.957367636101528,11.526506089415522,28.701575899319398,9.847810718205729,0.4133288000397297,1.0,0.2810860981868516,0.000299300373731,0
m4_quarterly_dataset.tsf,8.391208206819268,16.383577504204546,1.5200316575853912,4.8575122151424885,11.122201667867088,28.83350770698461,10.270799492486534,0.5577713329749014,1.0,0.35011523899397,0.0002955081027058,0
m4_weekly_dataset.tsf,8.252848920704944,16.346163236538835,2.487368426048448,10.910458568874176,10.618605107169751,28.84695018369944,11.278791549907154,0.970454750384133,1.0,0.956157793214357,3.693206455734899e-05,0
